"zcta10","stateco","alloc","puma10","pumaname","nameshort","per_in_puma","per_of_puma"
"10014","36061","x","03810","NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho","Battery Park City, Greenwich Village & Soho",0.99,0.212
"10016","36061","x","03808","NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town","Murray Hill, Gramercy & Stuyvesant Town",0.905,0.325
"10017","36061","x","03808","NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town","Murray Hill, Gramercy & Stuyvesant Town",0.996,0.109
"10018","36061","x","03807","NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District","Chelsea, Clinton & Midtown Business District",1,0.036
"10019","36061","x","03807","NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District","Chelsea, Clinton & Midtown Business District",0.909,0.269
"10020","36061","x","03807","NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District","Chelsea, Clinton & Midtown Business District",,0
"10021","36061","x","03805","NYC-Manhattan Community District 8--Upper East Side","Upper East Side",1,0.198
"10022","36061","x","03808","NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town","Murray Hill, Gramercy & Stuyvesant Town",0.936,0.198
"10023","36061","x","03806","NYC-Manhattan Community District 7--Upper West Side & West Side","Upper West Side & West Side",1,0.315
"10024","36061","x","03806","NYC-Manhattan Community District 7--Upper West Side & West Side","Upper West Side & West Side",1,0.306
"10025","36061","x","03806","NYC-Manhattan Community District 7--Upper West Side & West Side","Upper West Side & West Side",0.682,0.333
"10026","36061","x","03803","NYC-Manhattan Community District 10--Central Harlem","Central Harlem",0.981,0.281
"10027","36061","x","03802","NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem","Hamilton Heights, Manhattanville & West Harlem",0.603,0.283
"10028","36061","x","03805","NYC-Manhattan Community District 8--Upper East Side","Upper East Side",1,0.205
"10029","36061","x","03804","NYC-Manhattan Community District 11--East Harlem","East Harlem",1,0.646
"10030","36061","x","03803","NYC-Manhattan Community District 10--Central Harlem","Central Harlem",0.92,0.209
